id,label,act_gap,acc_binary_gap,acc_logsignal_gap
20211214_100033__420816__353::sa_rep__hepg2__0,1,0.119230,0.320732,0.633065
20211212_10357__323391__1990::fsp__k562__0,0,3.668593,0.888436,1.612641
20211207_100944__255626__1038::sa__hepg2__0,0,1.138781,0.874599,1.156827
20211212_45907__313665__583::fsp__hepg2__1,0,1.840429,0.880032,1.113775
20211206_24503__33072627__2650::al__hepg2__0,0,0.437022,0.011008,0.065890
20211207_73549__261982__5717::sa__hepg2__4,0,1.417343,0.714659,0.920804
20211214_94001__624120__3457::sa_rep__k562__0,0,1.522993,0.513195,0.735061
20211207_152258__777391__1995::sa__sknsh__0,0,0.256172,0.026327,0.235702
20211207_152258__777391__6700::sa__sknsh__5,0,-0.062558,-0.058600,-0.143442
20211210_222848__670473__116::hmc__hepg2__0,0,0.478025,0.282864,0.118828
20211207_152258__777391__3914::sa__sknsh__2,0,-0.254160,-0.052743,-0.199744
20211207_175000__383007__327::sa__sknsh__0,0,0.149955,-0.008755,-0.029220
20211207_112927__175796__3214::sa__hepg2__2,0,0.725339,0.383898,0.348777
20211207_175000__383007__4940::sa__sknsh__3,0,0.154351,-0.028899,-0.089109
20211212_85225__619474__882::fsp__k562__2,0,1.573840,0.520089,0.567370
20211207_112927__175796__4393::sa__hepg2__3,0,1.238207,0.352125,0.518834
20211212_45907__313665__612::fsp__hepg2__1,0,1.162604,0.698680,0.779952
20211212_92818__893131__1713::fsp__k562__5,0,1.476061,0.715838,0.753910
20211210_220707__684703__392::hmc__k562__0,0,0.583973,0.430220,0.692960
20211214_100033__420816__2075::sa_rep__hepg2__0,0,2.013617,0.778503,1.157528
20211206_24503__33072627__1167::al__hepg2__0,0,2.285517,0.960904,1.649662
20211212_92818__893131__916::fsp__k562__2,1,1.295422,0.461625,0.641309
20211207_185623__627393__834::sa__sknsh__0,0,-0.103465,-0.003691,-0.117694
20211207_212124__46481152__1181::al__sknsh__0,0,0.362075,0.003714,0.058145
