pred_gap,fail
-0.3352816,1
-0.33506447,0
-0.33499116,0
-0.3339913,0
-0.3333382,0
-0.33304888,1
-0.33297276,0
-0.3329261,0
-0.3328253,0
-0.33281207,0
-0.33258885,0
-0.3324644,0
-0.33222914,0
-0.33190536,1
-0.3318665,0
-0.33177263,0
-0.33146694,0
-0.33133578,0
-0.3313104,0
-0.33095187,1
-0.3308133,0
-0.33079463,0
-0.3306648,0
-0.33039284,0
-0.33022127,0
-0.33020893,0
-0.33018133,0
-0.32987133,0
-0.3297392,0
-0.32972693,0
-0.32960543,0
-0.32954013,1
-0.32937807,0
-0.32925355,0
-0.3291068,0
-0.32880348,0
-0.3287055,0
-0.32833204,1
-0.32830983,0
-0.32828987,0
-0.3280812,1
-0.3278337,0
-0.32766086,0
-0.32763222,1
-0.32756132,0
-0.32733625,0
-0.32673377,0
-0.32673362,0
-0.3265662,0
-0.32636195,0
-0.32620123,0
-0.32603675,0
-0.32561296,0
-0.32550666,0
-0.32530844,1
-0.3248666,0
-0.32486212,0
-0.32484412,0
-0.32448554,1
-0.32442504,1
-0.3241626,0
-0.3240465,0
-0.32388198,0
-0.32361126,0
-0.32347643,1
-0.32342136,0
-0.32325983,0
-0.32297027,1
-0.32285556,0
-0.3225996,0
-0.32197475,0
-0.3219515,0
-0.32192886,0
-0.32169276,0
-0.32159454,1
-0.32132852,0
-0.32127705,0
-0.32100025,0
-0.32061446,0
-0.32059345,1
-0.32044792,0
-0.31990555,0
-0.31987476,0
-0.31971008,0
-0.3193397,1
-0.31923723,0
-0.3188073,0
-0.31861433,0
-0.31816712,0
-0.3180652,0
-0.31804538,0
-0.317981,0
-0.3179592,0
-0.31780106,0
-0.31777143,0
-0.3176481,0
-0.31751078,1
-0.31708434,0
-0.31703925,0
-0.31690335,0
-0.3167225,0
-0.31663018,0
-0.31660342,0
-0.3162644,1
-0.31624767,1
-0.3162287,0
-0.31521285,0
-0.31518835,0
-0.31509343,0
-0.31503674,0
-0.3149681,0
-0.31492195,1
-0.31467715,0
-0.31449366,0
-0.31418106,0
-0.31405574,1
-0.31392792,1
-0.31386566,0
-0.31382558,0
-0.31379676,0
-0.3137573,1
-0.31342638,0
-0.31327704,0
-0.31309012,0
-0.3126418,0
-0.31260532,0
-0.31256282,0
-0.31232944,0
-0.31228814,0
-0.312101,0
-0.31206825,0
-0.3119598,0
-0.31158608,0
-0.3115421,0
-0.31142223,0
-0.31126767,0
-0.31105316,0
-0.31094646,0
-0.31066597,0
-0.3104909,0
-0.31044087,0
-0.31009826,0
-0.3098069,0
-0.30967164,0
-0.3095985,1
-0.30953354,0
-0.30914038,1
-0.30910438,0
-0.30900252,0
-0.308815,0
-0.30880588,1
-0.30871964,0
-0.30866235,0
-0.3083412,0
-0.3081902,0
-0.3074175,0
-0.30700448,0
-0.30674124,1
-0.30672568,0
-0.30667764,0
-0.30660263,0
-0.3061518,1
-0.30613902,0
-0.3059036,1
-0.30589843,0
-0.3057145,0
-0.30556238,0
-0.30541882,1
-0.30533934,0
-0.30527937,0
-0.30523467,0
-0.30514723,0
-0.3050915,0
-0.30498454,0
-0.3049686,0
-0.304888,0
-0.30464518,0
-0.3046006,0
-0.3044412,0
-0.3040774,0
-0.30400968,0
-0.30355167,0
-0.30320734,0
-0.3030624,0
-0.3027506,0
-0.30272222,0
-0.30250755,0
-0.30196863,1
-0.30193022,0
-0.30187285,0
-0.3017068,0
-0.3016553,0
-0.30137134,1
-0.30122513,0
-0.3011101,0
-0.30065417,0
-0.30042243,0
-0.30036706,0
-0.30036342,0
